case_id,slide_id,label
00_RA_12h,230425.173926.H9_12hour_treat.014.Group1.A1.S014,bad_psc
00_RA_12h,230425.180154.H9_12hour_treat.025.Group1.A1.S025,bad_psc
00_RA_12h,230425.181906.H9_12hour_treat.036.Group1.A1.S036,bad_psc
00_RA_12h,230425.184419.H9_12hour_treat.047.Group1.A1.S047,bad_psc
00_RA_12h,230425.190944.H9_12hour_treat.057.Group1.A1.S057,bad_psc
00_RA_12h,230426.164710.GM25256_12hour_treat.010.Group1.A1.S010,bad_psc
00_RA_12h,230426.172119.GM25256_12hour_treat.022.Group1.A1.S022,bad_psc
00_RA_12h,230426.173826.GM25256_12hour_treat.034.Group1.A1.S034,bad_psc
00_RA_12h,230426.175600.GM25256_12hour_treat.044.Group1.A1.S044,bad_psc
00_RA_12h,230426.181016.GM25256_12hour_treat.054.Group1.A1.S054,bad_psc
00_RA_12h,230427.171810.Jax_12hour_treated.013.Group1.A1.S013,bad_psc
00_RA_12h,230427.175010.Jax_12hour_treated.026.Group1.A1.S026,bad_psc
00_RA_12h,230427.182436.Jax_12hour_treated.043.Group1.A1.S043,bad_psc
00_RA_12h,230427.184406.Jax_12hour_treated.058.Group1.A1.S058,bad_psc
00_RA_12h,230921.183344.GM25256_12hours.010.Group1.A1.S010,bad_psc
00_RA_12h,230921.185301.GM25256_12hours.020.Group1.A1.S020,bad_psc
00_RA_12h,230921.191021.GM25256_12hours.030.Group1.A1.S030,bad_psc
00_RA_12h,230921.192519.GM25256_12hours.040.Group1.A1.S040,bad_psc
00_RA_12h,230921.194412.GM25256_12hours.050.Group1.A1.S050,bad_psc
00_RA_12h,230921.200344.GM25256_12hours.063.Group1.A1.S063,bad_psc
00_RA_12h,230922.173650.JAX_12hours.011.Group1.A1.S011,bad_psc
00_RA_12h,230922.180936.JAX_12hours.025.Group1.A1.S025,bad_psc
00_RA_12h,230922.183914.JAX_12hours.040.Group1.A1.S040,bad_psc
00_RA_12h,230922.190809.JAX_12hours.050.Group1.A1.S050,bad_psc
00_RA_12h,230922.193728.JAX_12hours.063.Group1.A1.S063,bad_psc
00_RA_12h,231001.231508.H9_12hours.010.Group1.A1.S010,bad_psc
00_RA_12h,231001.232957.H9_12hours.020.Group1.A1.S020,bad_psc
00_RA_12h,231001.235109.H9_12hours.032.Group1.A1.S032,bad_psc
00_RA_12h,231002.000800.H9_12hours.042.Group1.A1.S042,bad_psc
00_RA_12h,231002.002952.H9_12hours.052.Group1.A1.S052,bad_psc
00_RA_12h,231002.004501.H9_12hours.062.Group1.A1.S062,bad_psc
00_RA_12h,231003.190537.JAX_12hours.010.Group1.A1.S010,bad_psc
00_RA_12h,231003.192630.JAX_12hours.020.Group1.A1.S020,bad_psc
00_RA_12h,231003.194745.JAX_12hours.031.Group1.A1.S031,bad_psc
00_RA_12h,231003.201133.JAX_12hours.042.Group1.A1.S042,bad_psc
00_RA_12h,231003.205511.JAX_12hours.053.Group1.A1.S053,bad_psc
00_RA_12h,231003.211956.JAX_12hours.063.Group1.A1.S063,bad_psc
00_RA_12h,231004.163352.H9_12hours.009.Group1.A1.S009,bad_psc
00_RA_12h,231004.164843.H9_12hours.019.Group1.A1.S019,bad_psc
00_RA_12h,231004.170309.H9_12hours.030.Group1.A1.S030,bad_psc
00_RA_12h,231004.174230.H9_12hours.042.Group1.A1.S042,bad_psc
00_RA_12h,231004.181521.H9_12hours.053.Group1.A1.S053,bad_psc
00_RA_12h,231004.183806.H9_12hours.063.Group1.A1.S063,bad_psc
00_RA_12h,231011.133441.GM25256_12hours.009.Group1.A1.S009,bad_psc
00_RA_12h,231011.135804.GM25256_12hours.019.Group1.A1.S019,bad_psc
00_RA_12h,231011.142247.GM25256_12hours.029.Group1.A1.S029,bad_psc
00_RA_12h,231011.144844.GM25256_12hours.039.Group1.A1.S039,bad_psc
00_RA_12h,231011.155027.GM25256_12hours.049.Group1.A1.S049,bad_psc
