case_id,slide_id,label
02_ecto_06h,240124.191247.GM25256_Ectoderm_6h.009.Group2.A1.S009,ecto06_psc
02_ecto_06h,240124.192845.GM25256_Ectoderm_6h.019.Group2.A1.S019,ecto06_psc
02_ecto_06h,240124.194634.GM25256_Ectoderm_6h.029.Group2.A1.S029,ecto06_psc
02_ecto_06h,240124.200944.GM25256_Ectoderm_6h.039.Group2.A1.S039,ecto06_psc
02_ecto_06h,240124.203138.GM25256_Ectoderm_6h.051.Group2.A1.S051,ecto06_psc
02_ecto_06h,240124.205217.GM25256_Ectoderm_6h.062.Group2.A1.S062,ecto06_psc
02_ecto_12h,231211.104459.GM25256_Ectoderm_12h.011.Group1.A1.S011,ecto12_psc
02_ecto_12h,231211.111110.GM25256_Ectoderm_12h.027.Group1.A1.S027,ecto12_psc
02_ecto_12h,231211.124835.GM25256_Ectoderm_12h.041.Group1.A1.S041,ecto12_psc
02_ecto_12h,231211.131027.GM25256_Ectoderm_12h.055.Group1.A1.S055,ecto12_psc
02_ecto_24h,231211.203225.GM25256_Ectoderm_24h.010.Group1.A1.S010,ecto24_psc
02_ecto_24h,231211.205427.GM25256_Ectoderm_24h.021.Group1.A1.S021,ecto24_psc
02_ecto_24h,231211.211123.GM25256_Ectoderm_24h.032.Group1.A1.S032,ecto24_psc
02_ecto_24h,231211.214032.GM25256_Ectoderm_24h.045.Group1.A1.S045,ecto24_psc
02_ecto_24h,231211.220351.GM25256_Ectoderm_24h.057.Group1.A1.S057,ecto24_psc
03_meso_06h,240124.165945.GM25256_Mesoderm_6h.009.Group1.A1.S009,meso06_psc
03_meso_06h,240124.172111.GM25256_Mesoderm_6h.020.Group1.A1.S020,meso06_psc
03_meso_06h,240124.174018.GM25256_Mesoderm_6h.030.Group1.A1.S030,meso06_psc
03_meso_06h,240124.175939.GM25256_Mesoderm_6h.040.Group1.A1.S040,meso06_psc
03_meso_06h,240124.182453.GM25256_Mesoderm_6h.050.Group1.A1.S050,meso06_psc
03_meso_06h,240124.184150.GM25256_Mesoderm_6h.060.Group1.A1.S060,meso06_psc
03_meso_12h,231211.085002.GM25256_Mesoderm_12h.010.Group1.A1.S010,meso12_psc
03_meso_12h,231211.090622.GM25256_Mesoderm_12h.021.Group1.A1.S021,meso12_psc
03_meso_12h,231211.092543.GM25256_Mesoderm_12h.033.Group1.A1.S033,meso12_psc
03_meso_12h,231211.094200.GM25256_Mesoderm_12h.043.Group1.A1.S043,meso12_psc
03_meso_12h,231211.095823.GM25256_Mesoderm_12h.054.Group1.A1.S054,meso12_psc
03_meso_24h,231211.173051.GM25256_Mesoderm_24h.012.Group1.A1.S012,meso24_psc
03_meso_24h,231211.184750.GM25256_Mesoderm_24h.022.Group1.A1.S022,meso24_psc
03_meso_24h,231211.190939.GM25256_Mesoderm_24h.032.Group1.A1.S032,meso24_psc
03_meso_24h,231211.193421.GM25256_Mesoderm_24h.042.Group1.A1.S042,meso24_psc
03_meso_24h,231211.194646.GM25256_Mesoderm_24h.052.Group1.A1.S052,meso24_psc
03_meso_24h,231211.200451.GM25256_Mesoderm_24h.062.Group1.A1.S062,meso24_psc
04_endo_06h,240124.135619.GM25256_Endoderm_6h.009.Group1.A1.S009,endo06_psc
04_endo_06h,240124.142016.GM25256_Endoderm_6h.019.Group1.A1.S019,endo06_psc
04_endo_06h,240124.144034.GM25256_Endoderm_6h.029.Group1.A1.S029,endo06_psc
04_endo_06h,240124.151604.GM25256_Endoderm_6h.039.Group1.A1.S039,endo06_psc
04_endo_06h,240124.153926.GM25256_Endoderm_6h.049.Group1.A1.S049,endo06_psc
04_endo_06h,240124.160543.GM25256_Endoderm_6h.059.Group1.A1.S059,endo06_psc
04_endo_12h,231211.065333.GM25256_Endoderm_12h.011.Group1.A1.S011,endo12_psc
04_endo_12h,231211.071441.GM25256_Endoderm_12h.024.Group1.A1.S024,endo12_psc
04_endo_12h,231211.073211.GM25256_Endoderm_12h.035.Group1.A1.S035,endo12_psc
04_endo_12h,231211.075829.GM25256_Endoderm_12h.047.Group1.A1.S047,endo12_psc
04_endo_12h,231211.082024.GM25256_Endoderm_12h.058.Group1.A1.S058,endo12_psc
04_endo_24h,231211.145857.GM25256_Endoderm_24h.012.Group1.A1.S012,endo24_psc
04_endo_24h,231211.152148.GM25256_Endoderm_24h.022.Group1.A1.S022,endo24_psc
04_endo_24h,231211.154056.GM25256_Endoderm_24h.034.Group1.A1.S034,endo24_psc
