train,val,test
240124.185721.GM25256_Ectoderm_6h.001.Group2.A1.S001,240124.191101.GM25256_Ectoderm_6h.008.Group2.A1.S008,230425.173926.H9_12hour_treat.014.Group1.A1.S014
240124.185926.GM25256_Ectoderm_6h.002.Group2.A1.S002,240124.192629.GM25256_Ectoderm_6h.018.Group2.A1.S018,230425.180154.H9_12hour_treat.025.Group1.A1.S025
240124.190124.GM25256_Ectoderm_6h.003.Group2.A1.S003,240124.194438.GM25256_Ectoderm_6h.028.Group2.A1.S028,230425.181906.H9_12hour_treat.036.Group1.A1.S036
240124.190326.GM25256_Ectoderm_6h.004.Group2.A1.S004,240124.200756.GM25256_Ectoderm_6h.038.Group2.A1.S038,230425.184419.H9_12hour_treat.047.Group1.A1.S047
240124.190529.GM25256_Ectoderm_6h.005.Group2.A1.S005,240124.202947.GM25256_Ectoderm_6h.050.Group2.A1.S050,230425.190944.H9_12hour_treat.057.Group1.A1.S057
240124.190700.GM25256_Ectoderm_6h.006.Group2.A1.S006,240124.205006.GM25256_Ectoderm_6h.061.Group2.A1.S061,230426.164710.GM25256_12hour_treat.010.Group1.A1.S010
240124.190942.GM25256_Ectoderm_6h.007.Group2.A1.S007,231211.104217.GM25256_Ectoderm_12h.010.Group1.A1.S010,230426.172119.GM25256_12hour_treat.022.Group1.A1.S022
240124.191509.GM25256_Ectoderm_6h.010.Group2.A1.S010,231211.110625.GM25256_Ectoderm_12h.025.Group1.A1.S025,230426.173826.GM25256_12hour_treat.034.Group1.A1.S034
240124.191601.GM25256_Ectoderm_6h.011.Group2.A1.S011,231211.124701.GM25256_Ectoderm_12h.040.Group1.A1.S040,230426.175600.GM25256_12hour_treat.044.Group1.A1.S044
240124.191721.GM25256_Ectoderm_6h.012.Group2.A1.S012,231211.130815.GM25256_Ectoderm_12h.054.Group1.A1.S054,230426.181016.GM25256_12hour_treat.054.Group1.A1.S054
240124.191811.GM25256_Ectoderm_6h.013.Group2.A1.S013,231211.203120.GM25256_Ectoderm_24h.009.Group1.A1.S009,230427.171810.Jax_12hour_treated.013.Group1.A1.S013
240124.191935.GM25256_Ectoderm_6h.014.Group2.A1.S014,231211.205257.GM25256_Ectoderm_24h.020.Group1.A1.S020,230427.175010.Jax_12hour_treated.026.Group1.A1.S026
240124.192102.GM25256_Ectoderm_6h.015.Group2.A1.S015,231211.211007.GM25256_Ectoderm_24h.031.Group1.A1.S031,230427.182436.Jax_12hour_treated.043.Group1.A1.S043
240124.192218.GM25256_Ectoderm_6h.016.Group2.A1.S016,231211.213442.GM25256_Ectoderm_24h.042.Group1.A1.S042,230427.184406.Jax_12hour_treated.058.Group1.A1.S058
240124.192428.GM25256_Ectoderm_6h.017.Group2.A1.S017,231211.220114.GM25256_Ectoderm_24h.056.Group1.A1.S056,230921.183344.GM25256_12hours.010.Group1.A1.S010
240124.193037.GM25256_Ectoderm_6h.020.Group2.A1.S020,240124.165801.GM25256_Mesoderm_6h.008.Group1.A1.S008,230921.185301.GM25256_12hours.020.Group1.A1.S020
